idN,idSong,result
72893,5myMjEVTHoBQrvatNM0kyy.mp3,Music
72894,5myNajQdRWDVryDJ1ioXyP.mp3,Music
72895,5MYQAqmNV0vGz7vLn3xHqN.mp3,Music
72896,5MYrPJdxhdnsRJOEx9wexQ.mp3,Music
72897,5mYtpXrZZ1bbGJYDGC8I0Y.mp3,Music
72898,5mYTsdn21srFLmnShHZxQF.mp3,Music
72899,5MYYZbWQURrLcgim1jGvm6.mp3,Music
72900,5MZ20jZFGqEjidFbbUeUes.mp3,Music
72901,5mZ7KgCu4oTxDJXyqSqaMv.mp3,Music
72902,5mzakuJeEfkwBusJHVybMv.mp3,Music
72903,5MZbDFmM6KMMXwRu5JIIez.mp3,Music
72904,5MZbUlBSqkRJkc0nxp730C.mp3,Music
72905,5MzdRLptsrihyrpxtI2hNH.mp3,Music
72906,5mZEmChvCko8MIEP5lLcqP.mp3,Music
72907,5mZJgneQcVEHtVBGnK4HSv.mp3,Music
72908,5mzJOjBaduRq5lvO61IdeE.mp3,Speech
72909,5mzM1bgV38UL4NE29AaQpX.mp3,Music
72910,5mZOlTbCW8wPELh1AgjhUQ.mp3,Music
72911,5MZPbLKs7IjOpmG70wqNMR.mp3,Music
72912,5MzphLubufqPp6GYQAjhQD.mp3,Music
72913,5MZQmUlYE5kc5Vv7QIKYmR.mp3,Music
72914,5mZrhh1eP7YJpdMyOogroU.mp3,Music
72915,5mzUi19W7oqg82XI8TlW0O.mp3,Music
72916,5MzuKnX9r4mMkMijmnGGL6.mp3,Music
72917,5mzVVbF8nuKatFjKnwzcnU.mp3,Music
72918,5MZy61mxhcABroxHQtwjp6.mp3,Music
72919,5MZYOtR8fcaZoWzweBNdMm.mp3,Music
72920,5N01PIDYxihL0tB4c73HLN.mp3,Music
72921,5N08K3UjyoNQgrajfIT4B9.mp3,Music
72922,5n0CTysih20NYdT2S0Wpe8.mp3,Music
72923,5N0dvd3QQhdal4mk8cUYm5.mp3,Music
72924,5N0ESe198wHUVnuOBHMvBw.mp3,Music
72925,5n0EyKxm4HPnav2qR7K89J.mp3,Music
72926,5N0lcnJTtKj4wNDvurHige.mp3,Music
72927,5n0NUEzYITfCMH3c6KwHV1.mp3,Music
72928,5n0q4ToC7ycJhftlUMBeyr.mp3,Music
72929,5n0SP6A11RegY7skVw8biO.mp3,Music
72930,5n0td5JacMgyAizhODeo9n.mp3,Music
72931,5N0ywTjUvbGI6ghfcFs95w.mp3,Speech
72932,5n16dEoZ1OwdpqOIK13m1X.mp3,Music
72933,5n1bKVTEvP7F8NcUYPTAjP.mp3,Music
72934,5N1g7AvAeaTSQJrqVp6Jbp.mp3,Speech
72935,5N1rpSOkLnAdRy4s7bGSwQ.mp3,Music
72936,5n20se5BeoY97Ar4dlpHrd.mp3,Music
72937,5n23n1Vd5din4eKMjpbKQ0.mp3,Music
72938,5n276uEKrEFohrt42pP8Tf.mp3,Music
72939,5N2INCkPTfaD5at2cPMcCW.mp3,Music
72940,5n2jPODsYeEhisZ7ELqYUM.mp3,Music
72941,5n2oEHNiaCshJvtyS4Tewd.mp3,Music
72942,5N36pxghN02FAvkSFx3g9B.mp3,Music
72943,5N3FZ8eZ2mWwSWaJRAGHfS.mp3,Music
72944,5n3JegRSrvI99AJqB7Ak8m.mp3,Music
72945,5n3qlxzpHwmPbu3UUplyLy.mp3,Music
72946,5N3rW3s7zDsbSxLV3ERubK.mp3,Speech
72947,5N42t52zUKHZUg3BSpY5c8.mp3,Music
72948,5N48VUVTRAWA7OUxD5MZxN.mp3,Speech
72949,5n4Ale9oujD3ZsfAM2NFG0.mp3,Music
72950,5N4erncE7kuUccm7zEmwzk.mp3,Music
72951,5N4F58eHd93950bBlmYDyd.mp3,Music
72952,5N4jEOxP94iBTkjEQHa6HS.mp3,Speech
72953,5n4l32Zzl54lVrvOhougkL.mp3,Music
72954,5n4slZDIIcFdCOtUTvSF1W.mp3,Music
72955,5N4vu7YjgMluONhlzndhMN.mp3,Music
72956,5N4Z6Un83d1HcVQGEgcvz1.mp3,Music
72957,5N55QxJT3XnEQPz9oGrACE.mp3,Music
72958,5n59WnuOOKhBvkO10e9040.mp3,Music
72959,5n5DrY0ZIYiQ37sYnqbKPF.mp3,Music
72960,5n5Gg8TfxCTMb9x47ZybBF.mp3,Speech
72961,5N5k9nd479b1xpDZ4usjrg.mp3,Music
72962,5n5za9rAqN29EDM2kleg06.mp3,Music
72963,5N5zlwsd6lSjXcvc1iQnUz.mp3,Music
72964,5n604w73dQ9nEet7wpuAEU.mp3,Music
72965,5n63oxs1ZPVTG1PXH5oeqf.mp3,Music
72966,5N69GHuuvue74rYozPlBJ2.mp3,Music
72967,5N6Kq0MrphVNErUfyl7fxW.mp3,Music
72968,5n73Qx3es6qrFG67IKwNUA.mp3,Music
72969,5n75DZ9SzhWasHetj08JKy.mp3,Music
72970,5N7d8uxMeuO4HdncbkuhSB.mp3,Music
72971,5N8apD8l7pOOLdJKg6FJ13.mp3,Music
72972,5n8dw2pZd4Kd2zZWjAMj5f.mp3,Music
72973,5n8gLK6aBfxeMBC5cYNzCl.mp3,Music
72974,5N8HRh3pKXakJrdxQKMi1j.mp3,Music
72975,5N8jTHwVr1skwQJIZ0F2N3.mp3,Speech
72976,5N8JUiG7xDh6Qj2bhySXaC.mp3,Music
72977,5n8MeKfaMXLhwQnUL92HLg.mp3,Music
72978,5N8retkpGAAMKkEpUCZeL6.mp3,Music
72979,5N8wA5SKIlFk2gtQR7NGqT.mp3,Music
